accountsservice 0.6.55-3
acpi 1.7-3
acpid 2.0.32-2
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
alacritty 0.9.0-1
alsa-firmware 1.2.4-2
alsa-utils 1.2.5.1-1
alttab-git v1.6.0.1.gf07de11-1
amdapp-sdk 3.0-23
android-tools 31.0.2-1
android-udev 20210501-1
appimagelauncher 2.2.0-6
autoconf 2.71-1
automake 1.16.4-1
avahi 0.8+20+gd1e71b3-1
b43-fwcutter 019-3
bash-completion 2.11-2
bat 0.18.3-1
binutils 2.36.1-3
bison 3.7.6-1
blender 17:2.93.3-1
blueman 2.2.2-1
boost 1.76.0-1
brasero 3.12.2+106+g46b9d116-1
breeze-icons 5.85.0-1
btrfs-progs 5.13.1-1
bzip2 1.0.8-4
cava 0.7.4-1
ccls 0.20210330-3
clang 12.0.1-1
clipit 1:1.4.3-2
cmake 3.21.1-1
cmatrix 2.0-2
compton-conf 0.16.0-1
conky 1.12.2-1
coreutils 8.32-1
cpupower 5.13-1
crda 4.14-4
cronie 1.5.7-2
cryptsetup 2.4.0-1
ctags 1:r20210106+g08b1c490-1
dbus-x11 1.12.20-1
device-mapper 2.03.13-1
dhclient 4.4.2.P1-1
dhcpcd 9.4.0-1
diffutils 3.8-1
discord 0.0.15-1
dmenu 5.0-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.85-1
docker 1:20.10.8-1
dosfstools 4.2-1
dotnet-sdk 5.0.8.sdk205-1
dunst 1.6.1-2
e2fsprogs 1.46.4-1
ecryptfs-utils 111-4
efibootmgr 17-2
eigen 3.3.9-1
emacs 27.2-1
engrampa 1.26.0-1
espeak 1:1.48.04-3
ethtool 1:5.13-1
eww-git 8556e15_2021.07.31_-1
exa 0.10.1-1
exfat-utils 1.3.0-2
f2fs-tools 1.14.0-2
fakeroot 1.25.3-2
fd 8.2.1-1
feh 3.7.1-1
ffmpeg 2:4.4-4
ffmpegthumbnailer 2.2.2-2
figlet 2.2.5-4
file 5.40-5
filesystem 2021.01.19-1
findutils 4.8.0-1
fish 3.3.1-1
flameshot 0.10.1-1
flex 2.6.4-3
fmui-git r25.1c88466-1
fontpreview 1.0.6-2
fortune-mod 3.6.1-1
freetype2 2.10.4-1
funny-manpages-git r26.a3e0b08-1
gamemode 1.6.1-1
gawk 5.1.0-1
gcc 11.1.0-1
gcc-libs 11.1.0-1
gcolor2 0.4-9
gdb 10.2-2
gettext 0.21-1
git-filter-repo 2.29.0-2
github-cli 2.0.0-1
glfw-doc 3.3.4-1
glfw-x11 3.3.4-1
glibc 2.33-5
glsl-language-server 0.3.6-1
gnome-icon-theme 3.12.0-6
gnome-keyring 1:40.0-1
gnome-system-monitor 40.1-1
gnome-themes-extra 3.28-2
gnome-tweaks 40.0-1
gnu-netcat 0.7.1-8
go 2:1.17-1
google-chrome 93.0.4577.63-1
gparted 1.3.1-1
graphviz 2.48.0-2
grep 3.6-1
grub 2.06-1
grub-theme-manjaro 20.2-12
gst-libav 1.18.4-1
gst-plugins-bad 1.18.4-11
gst-plugins-base 1.18.4-1
gst-plugins-good 1.18.4-2
gst-plugins-ugly 1.18.4-2
gtest 1.11.0-1
gufw 21.04.0-1
gvfs 1.48.1-1
gvfs-afc 1.48.1-1
gvfs-gphoto2 1.48.1-1
gvfs-mtp 1.48.1-1
gvfs-nfs 1.48.1-1
gvfs-smb 1.48.1-1
gzip 1.10-3
hakuneko-desktop 6.1.7-1
haveged 1.9.14-1
heroic-games-launcher-bin 1.9.3-1
htop 3.0.5-1
imgui-sfml 2.3-1
inetutils 2.1-1
intel-gpu-tools 1.26-1
intel-ucode 20210608-1
inxi 3.3.06.1-1
iproute2 5.13.0-1
iptables 1:1.8.7-1
iputils 20210722-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
jdk 16.0.2-2
jfsutils 1.1.15-7
jre 16.0.2-2
komorebi-bin 2.2.1-2
leagueoflegends-git 0.11.16.r0.g75cdd18-1
legendary 0.20.9-1
less 1:590-1
lesspipe 1.88-1
lib32-libva-intel-driver 2.4.1-1
lib32-libva-mesa-driver 21.2.1-1
lib32-libva-vdpau-driver 0.7.4-6
lib32-mesa-demos 8.4.0-2
lib32-mesa-vdpau 21.2.1-1
lib32-vkd3d 1.2-2
lib32-vulkan-intel 21.2.1-1
lib32-vulkan-radeon 21.2.1-1
libdvdcss 1.4.3-1
libgsf 1.14.47-1
libguestfs 1.44.1-6
libopenraw 0.3.0-1
libreoffice-fresh 7.2.0-1
libva-intel-driver 2.4.1-1
libva-mesa-driver 21.2.1-1
libva-vdpau-driver 0.7.4-5
libxft-bgra 2.3.3.r7.7808631e-1
licenses 20200427-1
light 1.2.2-2
light-locker 1.9.0-4
linux-firmware 20210818.c46b8c3-1
linux512 5.12.19-1
linux512-headers 5.12.19-1
linux513 5.13.12-1
linux513-headers 5.13.12-1
lld 12.0.1-1
lldb 12.0.1-1
logrotate 3.18.1-1
lolcat 100.0.1-1
lsb-release 1.4-13
lua 5.4.3-1
lua-language-server 2.3.6-1
luarocks 3.7.0-1
lutris 0.5.8.4-1
lvm2 2.03.13-1
lxappearance-gtk3 0.6.3-4
m4 1.4.19-1
make 4.3-3
man-db 2.9.4-2
man-pages 5.12-2
manjaro-alsa 20210109-1
manjaro-application-utility 1.3.3-5
manjaro-browser-settings 20201114-1
manjaro-firmware 20160419-1
manjaro-hotfixes 2018.08-6
manjaro-pulse 20210109-1
manjaro-release 21.1.1-1
manjaro-settings-manager 0.5.6-15
manjaro-settings-manager-notifier 0.5.6-15
manjaro-system 20210612-1
mdadm 4.1-2
memtest86+ 5.31b-1
menulibre 2.2.1-3
mesa-demos 8.4.0-4
mesa-vdpau 21.2.1-1
mhwd 0.6.5-2
mhwd-db 0.6.5-15
minecraft-launcher 928-1
mkinitcpio-openswap 0.1.0-3
mobile-broadband-provider-info 20201225-1
modemmanager 1.16.10-1
mokutil-git 0.5.0-1
mousepad 0.5.6-1
mtpfs 1.1-4
mugshot 0.4.3-1
nano 5.8-1
nasm 2.15.05-1
nautilus 40.2-1
ncurses5-compat-libs 6.2-1
neofetch 7.1.0-2
neovide-bin 0.7.0-3
neovim 0.5.0-1
neovim-symlinks 4-1
net-tools 2.10-1
nethogs 0.8.6-1
network-manager-applet 1.24.0-1
networkmanager 1.32.10-1
networkmanager-openconnect 1.2.7dev+65+gca4187c-1
networkmanager-openvpn 1.8.14-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-4
networkmanager-vpnc 1.2.7dev+20+gdca3aea-2
nfs-utils 2.5.4-1
ninja 1.10.2-1
nmap 7.92-1
nodejs 16.7.0-1
noto-color-emoji-fontconfig 1.0.0-1
noto-fonts 20201226-2
npm 7.21.0-1
nss-mdns 0.15.1-1
ntfs-3g 2017.3.23-5
ntp 4.2.8.p15-1
numlockx 1.2-5
omnisharp-roslyn-bin 1.37.15-1
opencl-headers 2:2021.04.29-1
opencv 4.5.3-4
openresolv 3.12.0-1
openssh 8.7p1-1
os-prober 1.79-1
otf-font-awesome 5.15.4-1
p7zip 1:17.04-1
pacman 6.0.0-2
pamac-gtk 10.1.3-3
pamixer 1.4-6
patch 2.7.6-8
pavucontrol 1:5.0-1
pciutils 3.7.0-1
perl 5.34.0-2
perl-file-mimeinfo 0.30-2
picom 8.2-1
pipes.sh 1.3.0-1
pkgconf 1.7.3-1
pkgfile 21-2
pktstat 1.8.5-3
playerctl 2.3.1-1
polybar 3.5.5-1
poppler-glib 21.08.0-1
powertop 2.14-1
procps-ng 3.3.17-1
pscircle 1.3.1-1
psmisc 23.4-1
pulseaudio-bluetooth 15.0-1
pulseaudio-ctl 1.70-1
pulseaudio-zeroconf 15.0-1
python-pip 20.3.4-1
qemu 6.0.0-3
qpdfview 0.4.18-2
qt5-charts 5.15.2-1
qt5ct 1.3-1
ranger 1.9.3.143.g5047d9e5-1
reiserfsprogs 3.6.27-3
